Security,005930 KS Equity,,,Security,NVDA US Equity,,,Security,XBTUSD BGN Curncy,,Security,STRL US Equity,,,Security,SKY US Equity,,,Security,XAU BGN Curncy,,Security,USGG10YR Index,,,Security,XAG BGN Curncy,,Security,BRK/B US Equity,,,Security,VOO US Equity,,,Security,AZN LN Equity,,,Security,JNJ US Equity,,,Security,PKN PW Equity,,,Security,ASML NA Equity,,,Security,IVV US Equity,,,Security,SAP GY Equity,,,Security,MA US Equity,,,Security,ELCID IB Equity,,,Security,TMO US Equity,,,Security,UNOMINDA IN Equity,,,Security,AAPL UW Equity,,,,,,Security,AVGO US Equity,,,,,,Security,ANET US Equity,,,,,,Security,9992 HK Equity,,,,,,Security,WMT US Equity,,,,,,Security,NFLX US Equity,,,,,,Security,TTAN IN Equity,,,,,,Security,RELIANCE IN Equity,,,
2018-02-28,47060,47060,,2018-02-28,6.05,6.05,,2018-02-28,10538.02,,2018-02-28,12.08,12.08,,2018-02-28,21.39,21.27,,2018-02-28,1318.31,,2018-02-28,2.8606,5.75,,2018-02-28,16.415,,2018-02-28,207.2,206.99,,2018-02-28,249.34,249.5,,2018-02-28,4775,4775,,2018-02-28,129.88,129.9,,2018-02-28,96.52,96.52,,2018-02-28,161.3,161.25,,2018-02-28,273.34,273.5,,2018-02-28,86.2,86.21,,2018-02-28,175.76,175.78,,2018-02-28,5.35,#N/A N/A,,2018-02-28,208.58,208.51,,2018-02-28,187.15,187.15,,2018-02-28,44.53,44.53,,6%,,,2018-02-28,24.646,24.646,,-0.6%,,,2018-02-28,16.8588,16.8581,,-2.2%,,,,,,,,,,2018-02-28,30.0033,30,,-15.6%,,,2018-02-28,291.38,291.3,,7.8%,,,2018-03-28,942.3,928.1,,15.5%,,,2018-03-28,398.31,398.35,,-7.5%
2018-01-31,49900,49900,,2018-01-31,6.145,6.1463,,2018-01-31,9962.31,,2018-01-31,13.95,13.94,,2018-01-31,22.09,22.08,,2018-01-31,1345.14,,2018-01-31,2.705,12.4546,,2018-01-31,17.3455,,2018-01-31,214.38,214.55,,2018-01-31,258.99,259.11,,2018-01-31,4886.5,4886.5,,2018-01-31,138.19,138.21,,2018-01-31,108.5,108.5,,2018-01-31,163.2,163.05,,2018-01-31,284.15,284.04,,2018-01-31,90.83,90.56,,2018-01-31,169,169.06,,2018-01-31,5.35,#N/A N/A,,2018-01-31,224.11,223.98,,2018-01-31,204.54,204.54,,2018-01-31,41.8575,41.8625,,-1%,,,2018-01-31,24.803,24.808,,-3.5%,,,2018-01-31,17.2388,17.2325,,17.1%,,,,,,,,,,2018-01-31,35.5333,35.5467,,7.9%,,,2018-01-31,270.3,270.44,,40.8%,,,2018-02-28,816.15,815.95,,-6.1%,,,2018-02-28,430.73,428.38,,-0.7%
2017-12-28,50960,50960,,2017-12-29,4.8375,4.8383,,2017-12-31,14043.06,,2017-12-29,16.28,16.27,,2017-12-29,12.85,12.56,,2017-12-29,1302.8,,2017-12-29,2.4054,-0.1751,,2017-12-29,16.9375,,2017-12-29,198.22,198.67,,2017-12-29,245.29,245.34,,2017-12-29,5121,5118,,2017-12-29,139.72,139.84,,2017-12-29,106,109.4,,2017-12-29,145.15,145.1,,2017-12-29,268.85,268.92,,2017-12-29,93.45,93.29,,2017-12-29,151.36,151.82,,2017-12-29,4,#N/A N/A,,2017-12-29,189.88,189.99,,2017-12-29,213.32,212.64,,2017-12-29,42.3075,42.3225,,-2%,,,2017-12-29,25.69,25.731,,-7.6%,,,2017-12-29,14.7238,14.7294,,1.1%,,,,,,,,,,2017-12-29,32.9167,32.9567,,1.6%,,,2017-12-29,191.96,191.99,,2.3%,,,2018-01-31,869.55,867,,1.3%,,,2018-01-31,433.77,433.77,,4.4%
2017-11-30,50800,50780,,2017-11-30,5.0178,5.0145,,2017-11-30,9653.93,,2017-11-30,17.15,17.15,,2017-11-30,12.22,11.96,,2017-11-30,1275.01,,2017-11-30,2.4097,1.2744,,2017-11-30,16.4385,,2017-11-30,193.01,192.88,,2017-11-30,243.35,243.26,,2017-11-30,4777,4777,,2017-11-30,139.33,139.3,,2017-11-30,110.8,110.8,,2017-11-30,147.6,147.55,,2017-11-30,266.89,266.66,,2017-11-30,94.65,94.87,,2017-11-30,150.47,150.28,,2017-11-30,3.63,#N/A N/A,,2017-11-30,192.76,192.72,,2017-11-30,206.23,206.23,,2017-11-30,42.9625,42.935,,2%,,,2017-11-30,27.794,27.776,,5.3%,,,2017-11-30,14.57,14.5544,,16.6%,,,,,,,,,,2017-11-30,32.41,32.4167,,11.4%,,,2017-11-30,187.58,187.47,,-4.5%,,,2017-12-29,858.15,845,,4.8%,,,2017-12-29,415.61,415.61,,-0.1%
2017-10-31,55080,55080,,2017-10-31,5.1703,5.1688,,2017-10-31,6377.45,,2017-10-31,17.85,17.83,,2017-10-31,12.49,12.2,,2017-10-31,1271.45,,2017-10-31,2.3793,1.96,,2017-10-31,16.7175,,2017-10-31,186.94,186.87,,2017-10-31,236.13,236.18,,2017-10-31,5032,5032,,2017-10-31,139.41,139.4,,2017-10-31,128.7,128.7,,2017-10-31,154.8,154.8,,2017-10-31,258.81,258.87,,2017-10-30,97.66,97.64,,2017-10-31,148.77,148.73,,2017-10-31,3,#N/A N/A,,2017-10-31,193.83,193.83,,2017-10-31,136.01,135.23,,2017-10-31,42.26,42.2575,,10%,,,2017-10-31,26.391,26.38,,8.8%,,,2017-10-31,12.4931,12.4856,,5.4%,,,,,,,,,,2017-10-31,29.1033,29.1,,11.7%,,,2017-10-31,196.43,196.42,,8.3%,,,2017-11-30,818.9,818.9,,28.9%,,,2017-11-30,415.84,415.84,,-2.1%
2017-09-29,51280,51260,,2017-09-29,4.4693,4.4665,,2017-09-30,4171.25,,2017-09-29,15.23,15.21,,2017-09-29,12.09,11.8,,2017-09-29,1279.75,,2017-09-29,2.3336,10.2309,,2017-09-29,16.655,,2017-09-29,183.32,183.16,,2017-09-29,230.76,230.72,,2017-09-29,4955,4954,,2017-09-29,130.01,129.99,,2017-09-29,121.7,121.7,,2017-09-29,144.05,144,,2017-09-29,252.93,252.89,,2017-09-29,92.69,92.52,,2017-09-29,141.2,141.16,,2017-09-29,2.86,#N/A N/A,,2017-09-29,189.2,189.17,,2017-09-29,137.35,137.35,,2017-09-29,38.53,38.5,,-6%,,,2017-09-29,24.254,24.246,,-3.8%,,,2017-09-29,11.8506,11.8488,,7.6%,,,,,,,,,,2017-09-29,26.0467,26.0433,,0.1%,,,2017-09-29,181.35,181.21,,3.8%,,,2017-10-31,635.25,635.25,,8.7%,,,2017-10-31,424.55,424.55,,20.5%
2017-08-31,46320,46300,,2017-08-31,4.236,4.2345,,2017-08-31,4741.39,,2017-08-31,11.78,11.77,,2017-08-31,11.93,11.97,,2017-08-31,1321.43,,2017-08-31,2.117,-7.7236,,2017-08-31,17.5791,,2017-08-31,181.16,181.05,,2017-08-31,227.3,227.27,,2017-08-31,4541,4539,,2017-08-31,132.37,132.31,,2017-08-31,117.9,117.6,,2017-08-31,130.5,130.5,,2017-08-31,249.14,249.09,,2017-08-31,88.1,88.16,,2017-08-31,133.3,133.33,,2017-08-31,2.86,#N/A N/A,,2017-08-31,187.14,187.12,,2017-08-31,140.1,140.1,,2017-08-31,41,40.9975,,10%,,,2017-08-31,25.207,25.206,,2.2%,,,2017-08-31,11.0094,11.0094,,18.0%,,,,,,,,,,2017-08-31,26.0233,26.02,,-2.4%,,,2017-08-31,174.71,174.71,,-3.8%,,,2017-09-29,584.55,584.55,,-5.3%,,,2017-09-29,352.37,352.37,,-2.1%
2017-07-31,48200,48200,,2017-07-31,4.0627,4.0627,,2017-07-31,2886.71,,2017-07-31,12.78,12.78,,2017-07-31,7.47,7.41,,2017-07-31,1269.44,,2017-07-31,2.2942,-0.4112,,2017-07-31,16.8271,,2017-07-31,174.97,175.04,,2017-07-31,226.64,226.67,,2017-07-31,4569,4566.5,,2017-07-31,132.72,132.72,,2017-07-31,106.35,106.35,,2017-07-31,128.15,128.15,,2017-07-31,248.46,248.43,,2017-07-31,89.68,89.67,,2017-07-31,127.8,127.88,,2017-07-31,2.86,#N/A N/A,,2017-07-31,175.53,175.63,,2017-07-31,131.25,131.25,,2017-07-31,37.1825,37.1925,,3%,,,2017-07-31,24.666,24.672,,5.8%,,,2017-07-31,9.3306,9.3288,,-0.3%,,,,,,,,,,2017-07-31,26.6633,26.6633,,5.7%,,,2017-07-31,181.66,181.63,,21.6%,,,2017-08-31,617.1,617.1,,13.4%,,,2017-08-31,359.75,359.75,,-1.3%
2017-06-30,47540,47520,,2017-06-30,3.614,3.6125,,2017-06-30,2502.5,,2017-06-30,13.07,13.05,,2017-06-30,6.02,5.95,,2017-06-30,1241.61,,2017-06-30,2.3037,4.5802,,2017-06-30,16.6325,,2017-06-30,169.37,169.45,,2017-06-30,222.06,222.04,,2017-06-30,5135,5135,,2017-06-30,132.29,132.31,,2017-06-30,111.9,111.9,,2017-06-30,114.1,114.05,,2017-06-30,243.41,243.38,,2017-06-30,91.45,91.31,,2017-06-30,121.45,121.45,,2017-06-30,2.86,#N/A N/A,,2017-06-30,174.47,174.49,,2017-06-30,106.19,106.19,,2017-06-30,36.005,36.005,,-6%,,,2017-06-30,23.305,23.298,,-2.7%,,,2017-06-30,9.3619,9.3581,,1.6%,,,,,,,,,,2017-06-30,25.2267,25.2233,,-3.7%,,,2017-06-30,149.41,149.38,,-8.4%,,,2017-07-31,544.25,544.25,,3.8%,,,2017-07-31,364.42,364.11,,17.0%
2017-05-31,44700,44680,,2017-05-31,3.6088,3.608,,2017-05-31,2286.1,,2017-05-31,10.18,10.17,,2017-05-31,5.26,5.26,,2017-05-31,1268.92,,2017-05-31,2.2028,-3.3971,,2017-05-31,17.3278,,2017-05-31,165.28,165.28,,2017-05-31,221.67,221.63,,2017-05-31,5234,5232,,2017-05-31,128.25,128.26,,2017-05-31,106.15,106.15,,2017-05-31,117.5,117.45,,2017-05-31,242.9,242.95,,2017-05-31,95.44,95.65,,2017-05-31,122.88,122.88,,2017-05-31,2.86,#N/A N/A,,2017-05-31,172.79,172.86,,2017-05-31,104.03,104.03,,2017-05-31,38.19,38.19,,6%,,,2017-05-31,23.948,23.948,,8.5%,,,2017-05-31,9.2113,9.2181,,5.5%,,,,,,,,,,2017-05-31,26.2,26.2,,4.5%,,,2017-05-31,163.07,163.03,,7.1%,,,2017-06-30,524.45,524.45,,10.4%,,,2017-06-30,311.35,311.35,,2.9%
2017-04-28,44620,44620,,2017-04-28,2.6075,2.607,,2017-04-30,1356.03,,2017-04-28,9.51,9.51,,2017-04-28,6.19,6.15,,2017-04-28,1268.28,,2017-04-28,2.2802,-4.4884,,2017-04-28,17.2154,,2017-04-28,165.21,165.11,,2017-04-28,218.6,218.59,,2017-04-28,4637.5,4636,,2017-04-28,123.47,123.48,,2017-04-28,116,116,,2017-04-28,121.35,121.3,,2017-04-28,239.56,239.61,,2017-04-28,92.07,92.1,,2017-04-28,116.32,116.35,,2017-04-28,2.86,#N/A N/A,,2017-04-28,165.33,165.28,,2017-04-28,79.7,79.53,,2017-04-28,35.9125,35.9025,,0%,,,2017-04-28,22.081,22.068,,0.8%,,,2017-04-28,8.7275,8.725,,5.6%,,,,,,,,,,2017-04-28,25.06,25.05,,4.3%,,,2017-04-28,152.2,152.18,,3.0%,,,2017-05-31,474.9,474.9,,1.0%,,,2017-05-31,302.49,302.49,,-3.9%
2017-03-31,41200,41200,,2017-03-31,2.7233,2.7233,,2017-03-31,1074.69,,2017-03-31,9.25,9.24,,2017-03-31,9.42,9.42,,2017-03-31,1249.2,,2017-03-31,2.3874,-0.1061,,2017-03-31,18.2664,,2017-03-31,166.68,166.59,,2017-03-31,216.35,216.37,,2017-03-31,4912.5,4912.5,,2017-03-31,124.55,124.51,,2017-03-31,100,100,,2017-03-31,124.4,124.4,,2017-03-31,237.27,237.15,,2017-03-31,91.98,91.93,,2017-03-31,112.47,112.47,,2017-03-31,2.86,#N/A N/A,,2017-03-31,153.6,153.57,,2017-03-31,73.7,72.73,,2017-03-31,35.915,35.9175,,5%,,,2017-03-31,21.896,21.895,,3.8%,,,2017-03-31,8.2669,8.2644,,11.2%,,,,,,,,,,2017-03-31,24.0267,24.02,,1.6%,,,2017-03-31,147.81,147.79,,4.0%,,,2017-04-28,470.25,468.1,,1.6%,,,2017-04-28,314.78,314.78,,5.6%
2017-02-28,38440,38440,,2017-02-28,2.537,2.5368,,2017-02-28,1192.7,,2017-02-28,8.99,8.99,,2017-02-28,12.05,12.03,,2017-02-28,1248.44,,2017-02-28,2.3899,-2.5758,,2017-02-28,18.3125,,2017-02-28,171.42,171.65,,2017-02-28,217.07,217.16,,2017-02-28,4644,4644,,2017-02-28,122.21,122.23,,2017-02-28,94.2,94.09,,2017-02-28,114.45,114.45,,2017-02-28,238.03,237.97,,2017-02-28,87.95,87.99,,2017-02-28,110.46,110.46,,2017-02-28,2.86,#N/A N/A,,2017-02-28,157.68,157.69,,2017-02-28,72.88,72.88,,2017-02-28,34.2475,34.245,,13%,,,2017-02-28,21.093,21.092,,5.7%,,,2017-02-28,7.4369,7.4394,,26.6%,,,,,,,,,,2017-02-28,23.6433,23.6133,,6.3%,,,2017-02-28,142.13,142.12,,1.0%,,,2017-03-31,462.75,459.25,,5.8%,,,2017-03-31,298.02,297.64,,6.7%
2017-01-31,39460,39460,,2017-01-31,2.7295,2.7285,,2017-01-31,961.69,,2017-01-31,9.16,9.15,,2017-01-31,10.47,10.41,,2017-01-31,1210.72,,2017-01-31,2.4531,0.3599,,2017-01-31,17.5557,,2017-01-31,164.14,164.11,,2017-01-31,208.97,208.93,,2017-01-31,4194,4194,,2017-01-31,113.25,113.24,,2017-01-31,81.18,81.18,,2017-01-31,112.4,112.35,,2017-01-31,228.93,228.95,,2017-01-31,84.63,84.66,,2017-01-31,106.33,106.32,,2017-01-31,2.86,#N/A N/A,,2017-01-31,152.39,152.38,,2017-01-31,57.8,57.8,,2017-01-31,30.3375,30.3225,,5%,,,2017-01-31,19.95,19.953,,12.9%,,,2017-01-31,5.875,5.875,,-2.9%,,,,,,,,,,2017-01-31,22.2467,22.2467,,-3.4%,,,2017-01-31,140.71,140.7,,13.7%,,,2017-02-28,437.2,437.2,,20.8%,,,2017-02-28,279.33,279.33,,18.5%
2016-12-29,36040,36000,,2016-12-30,2.6685,2.6683,,2016-12-31,952.01,,2016-12-30,8.46,8.45,,2016-12-30,15.43,15.42,,2016-12-30,1147.5,,2016-12-30,2.4443,2.6621,,2016-12-30,15.9278,,2016-12-30,162.98,163.03,,2016-12-30,205.31,205.23,,2016-12-30,4437.5,4428,,2016-12-30,115.21,115.24,,2016-12-30,85.3,84.8,,2016-12-30,106.65,106.6,,2016-12-30,224.99,224.89,,2016-12-30,82.81,82.56,,2016-12-30,103.25,103.28,,2016-12-30,2.86,#N/A N/A,,2016-12-30,141.1,141.12,,2016-12-30,50.01,49.91,,2016-12-30,28.955,28.96,,5%,,,2016-12-30,17.677,17.68,,3.7%,,,2016-12-30,6.0481,6.0481,,2.1%,,,,,,,,,,2016-12-30,23.04,23.0433,,-1.9%,,,2016-12-30,123.8,123.8,,5.8%,,,2017-01-31,362.05,362.8,,10.8%,,,2017-01-31,235.82,235.41,,-3.4%
2016-11-30,34920,34900,,2016-11-30,2.305,2.305,,2016-11-30,743.26,,2016-11-30,8.29,8.28,,2016-11-30,12.8,12.85,,2016-11-30,1173.2,,2016-11-30,2.3809,30.4274,,2016-11-30,16.5112,,2016-11-30,157.44,157.53,,2016-11-30,202.4,202.3,,2016-11-30,4149.5,4149,,2016-11-30,111.3,111.39,,2016-11-30,76.45,76.45,,2016-11-30,97.62,97.54,,2016-11-30,221.53,221.61,,2016-11-30,78.88,78.72,,2016-11-30,102.2,102.16,,2016-11-30,2.86,#N/A N/A,,2016-11-30,140.11,140.13,,2016-11-30,50.83,50.41,,2016-11-30,27.63,27.6275,,-3%,,,2016-11-30,17.049,17.044,,0.1%,,,2016-11-30,5.9256,5.9288,,11.9%,,,,,,,,,,2016-11-30,23.4767,23.4867,,0.6%,,,2016-11-30,117,117,,-6.3%,,,2016-12-30,326.8,323.5,,1.0%,,,2016-12-30,244.21,243.44,,9.3%
2016-10-31,32780,32760,,2016-10-31,1.779,1.779,,2016-10-31,702.17,,2016-10-31,7.28,7.28,,2016-10-31,11.57,11.32,,2016-10-31,1277.21,,2016-10-31,1.8255,14.4932,,2016-10-31,17.91,,2016-10-31,144.3,144.28,,2016-10-31,195.13,195.09,,2016-10-31,4588,4588,,2016-10-31,115.99,115.99,,2016-10-31,77.8,77.8,,2016-10-31,96.5,96.5,,2016-10-31,213.69,213.71,,2016-10-31,80.24,80.44,,2016-10-31,107.02,107.01,,2016-10-30,2.86,#N/A N/A,,2016-10-31,147.03,147.04,,2016-10-30,64.9,63.86,,2016-10-31,28.385,28.385,,0%,,,2016-10-31,17.028,17.026,,-1.3%,,,2016-10-31,5.2969,5.295,,-0.4%,,,,,,,,,,2016-10-31,23.34,23.34,,-2.9%,,,2016-10-31,124.87,124.85,,26.7%,,,2016-11-30,323.5,322.05,,-15.4%,,,2016-11-30,223.37,223.37,,-5.8%
2016-09-30,31960,31960,,2016-09-30,1.713,1.7125,,2016-09-30,605.99,,2016-09-30,7.74,7.72,,2016-09-30,13.69,13.61,,2016-09-30,1315.87,,2016-09-30,1.5944,0.9123,,2016-09-30,19.174,,2016-09-30,144.47,144.4,,2016-09-30,198.69,198.64,,2016-09-30,5004,5003,,2016-09-30,118.13,118.11,,2016-09-30,65.01,65.01,,2016-09-30,97.69,97.67,,2016-09-30,217.56,217.57,,2016-09-30,80.92,80.96,,2016-09-30,101.77,101.71,,2016-09-30,2.73,#N/A N/A,,2016-09-30,159.06,159.04,,2016-09-30,48.19,48.19,,2016-09-30,28.2625,28.25,,7%,,,2016-09-30,17.252,17.25,,-2.2%,,,2016-09-30,5.3175,5.3113,,6.8%,,,,,,,,,,2016-09-30,24.04,24.0333,,1.0%,,,2016-09-30,98.55,98.55,,1.1%,,,2016-10-30,382.25,380.5,,-3.3%,,,2016-10-30,237.17,236.5,,-3.0%
